plane,assignment,amp,amp_err
0,dsRNA,331439362.6,3620769.844
1,dsRNA,320261450.3,3523616.134
2,dsRNA,306093062,3387699.787
3,dsRNA,296490633.2,3171768.148
4,dsRNA,290152728.1,3162916.85
5,dsRNA,270646700.2,2932973.949
6,dsRNA,261737736.6,2831827.579
7,dsRNA,248651480.4,2668496.08
8,dsRNA,227667234.9,2401591.018
9,dsRNA,210879193.5,2378115.206
10,dsRNA,201013734.8,2065180.563
11,dsRNA,187035426.9,2129655.638
12,dsRNA,174373235.5,1874168.881
13,dsRNA,159957965.9,1820360.148
14,dsRNA,147142631.8,1497364.781
15,dsRNA,136410267,1529422.779
0,ssRNA,142559860.5,1658318.206
1,ssRNA,127125630.8,1700446.091
2,ssRNA,117678565.7,1665777.518
3,ssRNA,111969355.8,1524377.84
4,ssRNA,97883583,1459075.501
5,ssRNA,85928913.5,1278834.379
6,ssRNA,73776542.8,1250504.954
7,ssRNA,65785712.14,1035022.064
8,ssRNA,50286717.14,1078997.994
9,ssRNA,49719300.2,852470.729
10,ssRNA,41957796.1,845831.7476
11,ssRNA,39884621.22,927314.9159
12,ssRNA,35772235.58,982485.2403
13,ssRNA,33909161.27,861328.9962
14,ssRNA,28981937.71,959482.988
15,ssRNA,29090829.28,729313.7883
0,dsRNAtossRNA,3671854.827,389268.8238
1,dsRNAtossRNA,10274135.5,409057.0789
2,dsRNAtossRNA,16162334.21,460339.1857
3,dsRNAtossRNA,23845431.45,526849.8004
4,dsRNAtossRNA,29027608.95,494524.4048
5,dsRNAtossRNA,39511464.72,537289.831
6,dsRNAtossRNA,43850692.32,445024.8299
7,dsRNAtossRNA,46358535.99,715445.7549
8,dsRNAtossRNA,52369453.64,722417.9575
9,dsRNAtossRNA,53129763.91,586109.7028
10,dsRNAtossRNA,53684088.22,614712.618
11,dsRNAtossRNA,51684998.13,579551.5557
12,dsRNAtossRNA,52350699.55,526587.9476
13,dsRNAtossRNA,44770822.27,646475.0666
14,dsRNAtossRNA,43133574.97,610171.6701
15,dsRNAtossRNA,44910171.58,532442.5977
0,ssRNAtodsRNA,566901.3201,324356.3868
1,ssRNAtodsRNA,9890305.498,310149.2138
2,ssRNAtodsRNA,19592845.86,351447.0018
3,ssRNAtodsRNA,23451193.81,514999.2328
4,ssRNAtodsRNA,29168712.81,386836.0773
5,ssRNAtodsRNA,36352969.58,533026.3863
6,ssRNAtodsRNA,43991945.64,533631.3807
7,ssRNAtodsRNA,46789228.27,531270.4485
8,ssRNAtodsRNA,53101604.79,738067.4715
9,ssRNAtodsRNA,55573672.9,598709.168
10,ssRNAtodsRNA,53843916.32,556884.1233
11,ssRNAtodsRNA,53063913.49,653368.885
12,ssRNAtodsRNA,50207531.81,608881.4399
13,ssRNAtodsRNA,47649520.72,650973.3362
14,ssRNAtodsRNA,45779026.41,579319.4442
15,ssRNAtodsRNA,43614265.53,481786.5949
