,kAB,kBA,kex,pA,pB,R2A,R2B,R1,sigma,CS_A,CS_B,deltaomega
0,38.77229739905222,86.21354349367071,124.98584089272293,0.689786482035745,0.310213517964255,21.076410745438448,32.70056417538046,2.0,-0.44955082116930284,-732.36,107.8196945979467,840.1796945979468
1,40.22217638363133,94.03391170274544,134.25608808637676,0.7004070582054093,0.2995929417945908,16.102214550583298,33.179559739634676,2.0,-0.4706714989873215,-732.36,108.11895972347774,840.4789597234777
2,43.31171843947844,102.77517004130858,146.08688848078702,0.7035208368807534,0.2964791631192466,17.904466584340437,28.556773992417476,2.0,-0.43903622107129564,-732.36,107.63157506827135,839.9915750682713
3,39.71271108488362,92.54397487406078,132.2566859589444,0.6997300303047713,0.3002699696952288,21.858577422777522,39.95502397651522,2.0,-0.43581970128966996,-732.36,108.17542835264204,840.535428352642
4,38.59816925264687,84.87515417950108,123.47332343214795,0.687396692826061,0.312603307173939,23.636414738355857,40.9391937448627,2.0,-0.4465672543391719,-732.36,107.79051756725569,840.1505175672557
5,44.20258218735268,105.15473141522384,149.3573136025765,0.7040480903066393,0.2959519096933607,16.839401075359348,24.3258385490813,2.0,-0.45011551997879445,-732.36,107.54800363488977,839.9080036348898
6,40.541556930122475,95.1961115268296,135.73766845695206,0.7013241984263208,0.29867580157367923,19.519365788832992,30.303702760218567,2.0,-0.45618869516421046,-732.36,108.24529523989744,840.6052952398975
7,41.897546469432534,95.43011418223054,137.32766065166308,0.694908176032305,0.3050918239676949,19.76538040932227,31.907046743799782,2.0,-0.4373893950105744,-732.36,107.87081406118223,840.2308140611823
8,43.96751505810114,105.3466392242951,149.31415428239626,0.7055368577117889,0.294463142288211,15.147708822749435,28.091032156761827,2.0,-0.4493944716932394,-732.36,108.95343958055193,841.313439580552
9,40.692531405788486,94.23605000541221,134.9285814112007,0.6984142945831748,0.30158570541682517,18.064573627271706,39.51089021291493,2.0,-0.46917294826328154,-732.36,108.40771713862684,840.7677171386268
10,44.877278266653285,112.6357281889688,157.51300645562208,0.7150884280829402,0.28491157191705985,12.900919247823708,14.34591849672681,2.0,-0.4721680033099465,-732.36,108.63534385657994,840.9953438565799
11,40.825170016150516,96.72961561588944,137.55478563203997,0.7032079267284953,0.2967920732715046,17.258613333978168,24.642242222540677,2.0,-0.463681743296168,-732.36,107.60036690690418,839.9603669069043
12,40.91241362040963,95.88400970802003,136.79642332842965,0.7009248295755185,0.2990751704244816,18.514623789673294,33.76397229505324,2.0,-0.4617787034120368,-732.36,107.73432231191633,840.0943223119164
13,41.64835759675565,96.7771997492205,138.42555734597616,0.6991281205922028,0.3008718794077972,20.881162342761485,36.66593908728899,2.0,-0.4322952817784511,-732.36,107.63028045860244,839.9902804586025
14,37.37862556781786,88.15094408554536,125.52956965336323,0.7022325044924871,0.2977674955075129,24.12956977093573,40.18845262041432,2.0,-0.44918137379551215,-732.36,107.92271375502742,840.2827137550274
15,43.458423044963894,103.4963543981763,146.9547774431402,0.7042734928316376,0.29572650716836235,16.54280134561209,22.895842255267077,2.0,-0.43373147783979443,-732.36,108.4214662650076,840.7814662650076
16,43.76106873664462,101.32557319931836,145.08664193596297,0.6983797532790132,0.30162024672098675,16.690986079918392,21.74154234862865,2.0,-0.4282461731816799,-732.36,107.6879788860016,840.0479788860016
17,37.46942976006299,87.13158363213728,124.60101339220026,0.6992847109347148,0.30071528906528533,23.644522508911827,45.15379064575401,2.0,-0.45109789825112956,-732.36,107.00967202863963,839.3696720286397
18,41.10432268442688,96.58808705523191,137.69240973965879,0.7014772073337618,0.29852279266623827,20.589019112006493,31.91548254637546,2.0,-0.44794870611481674,-732.36,107.53709297530322,839.8970929753033
19,40.90608370661467,94.35035476707584,135.2564384736905,0.6975664584383424,0.3024335415616577,19.48895745370827,33.92450096349521,2.0,-0.4490077644040086,-732.36,107.87426067970898,840.234260679709
20,46.13148001294648,112.91804188153407,159.04952189448056,0.7099552424712609,0.29004475752873904,13.188518988939112,15.040983863049503,2.0,-0.44916809228547716,-732.36,109.00213084106989,841.3621308410699
21,46.291648430491236,115.25294952701303,161.54459795750427,0.7134435380954759,0.2865564619045241,14.543337663964005,16.061186638570142,2.0,-0.44217507678482104,-732.36,108.35784039350172,840.7178403935018
