,kAB,kBA,kex,pA,pB,offsetA,offsetB,deltaomega,R2A,R2B,R1A,R1B,M0
938,50.68548301860061,124.81981884234052,175.50530186094113,0.7112025535344769,0.288797446465523,0.0,835.3519702408403,835.3519702408403,10.045224588475765,10.045224588475765,2.0,2.0,2179551.4278210034
939,50.310730787960566,136.5077780628823,186.81850885084287,0.730697289591745,0.26930271040825504,0.0,818.1895148149025,818.1895148149025,10.042068687244846,10.042068687244846,2.0,2.0,2110591.229537992
940,50.70446686579457,130.21804203651777,180.92250890231236,0.7197448389731758,0.28025516102682413,0.0,822.1399266545841,822.1399266545841,9.80470982465953,9.80470982465953,2.0,2.0,2134088.539478956
941,50.231162888196444,122.36783668385553,172.59899957205198,0.7089718769358956,0.29102812306410436,0.0,828.6917829477612,828.6917829477612,10.34394300379906,10.34394300379906,2.0,2.0,2188727.280333259
942,50.32636105232004,124.56326779873856,174.8896288510586,0.7122393055383546,0.28776069446164537,0.0,837.3567029045566,837.3567029045566,10.046275613512641,10.046275613512641,2.0,2.0,2168345.295828211
943,50.75641556274351,131.33831854964913,182.09473411239264,0.7212636828288752,0.2787363171711248,0.0,832.7259492494127,832.7259492494127,10.20545416230392,10.20545416230392,2.0,2.0,2156588.178925129
944,50.296312490017684,138.15859768669227,188.45491017670997,0.7331122206216014,0.2668877793783985,0.0,819.4894938214538,819.4894938214538,10.383436157019451,10.383436157019451,2.0,2.0,2116601.067577441
945,50.26324523572615,128.85507391089948,179.11831914662562,0.7193852338767157,0.28061476612328434,0.0,829.3704197813391,829.3704197813391,9.641604675448503,9.641604675448503,2.0,2.0,2129942.208229926
946,50.71248694199993,146.82994708268072,197.54243402468063,0.743283071344236,0.2567169286557641,0.0,811.0542646836334,811.0542646836334,9.709998085414377,9.709998085414377,2.0,2.0,2063506.412876126
947,50.51569299798359,145.419662130657,195.9353551286406,0.742181838674201,0.25781816132579904,0.0,814.0106533627452,814.0106533627452,10.119629928983112,10.119629928983112,2.0,2.0,2086189.75950708
948,50.66232954064283,139.78094695560605,190.44327649624887,0.7339768015299784,0.2660231984700217,0.0,815.9279142567837,815.9279142567837,9.617542011031036,9.617542011031036,2.0,2.0,2087824.1456791598
949,50.03331212848084,128.5353013576706,178.56861348615143,0.7198090350163295,0.2801909649836704,0.0,836.3027971513815,836.3027971513815,10.121560169375016,10.121560169375016,2.0,2.0,2151450.9629504033
950,49.883091792016025,126.07718952397003,175.96028131598607,0.7165093655287074,0.28349063447129264,0.0,829.8840363937478,829.8840363937478,10.437941148381858,10.437941148381858,2.0,2.0,2169197.719486348
951,50.5944154110023,145.87168448677454,196.46609989777684,0.742477631319973,0.257522368680027,0.0,820.3772479324064,820.3772479324064,9.962351173151987,9.962351173151987,2.0,2.0,2077219.736069338
952,50.14453189586583,125.02572998197056,175.1702618778364,0.7137383288789246,0.28626167112107526,0.0,835.4302651662275,835.4302651662275,10.234729596134208,10.234729596134208,2.0,2.0,2169749.0319481026
