,kAB,kBA,kex,pA,pB,R2A,R2B,R1,sigma,CS_A,CS_B,deltaomega
0,4.690840057172905,16.946860660914425,21.63770071808733,0.7832098651197374,0.2167901348802625,24.59603742826713,31.35668143836361,2.662819510456004,0.0,82.7,-473.25182714092466,555.9518271409247
1,4.787934219085352,19.38816833171667,24.17610255080202,0.8019559104274847,0.19804408957251535,22.995067001477384,27.61608434804069,2.6710038551009516,0.0,82.7,-473.7259727979438,556.4259727979438
2,4.6217592659527496,15.808710894616228,20.430470160568976,0.7737810618341622,0.2262189381658379,23.910804631212912,31.082929349824493,2.6619227552760796,0.0,82.7,-473.47903318824837,556.1790331882484
3,4.703447628018888,16.764654092236057,21.468101720254946,0.7809099430723662,0.21909005692763375,24.103444966157973,32.24919065438295,2.6589196346897297,0.0,82.7,-473.2372358246753,555.9372358246753
4,4.891691690443025,15.907043527345648,20.798735217788675,0.7648082136139087,0.23519178638609117,24.55629888892607,31.54269288079645,2.6479116673451215,0.0,82.7,-473.0076461774213,555.7076461774213
5,4.759727603665174,17.765976827831434,22.525704431496607,0.7886979464664432,0.2113020535335568,24.054755091963127,27.077122817160365,2.6516203196779755,0.0,82.7,-472.5551910390153,555.2551910390154
6,4.485245091548835,13.86731400663699,18.352559098185825,0.7556065577801514,0.24439344221984866,26.478653748781632,28.136768410374124,2.661452381298558,0.0,82.7,-473.4343160519944,556.1343160519945
7,4.445974178074777,13.261666802355549,17.707640980430327,0.7489234063990644,0.25107659360093554,25.72311610810073,32.94412032154695,2.65306253689927,0.0,82.7,-473.01016751252683,555.7101675125268
8,4.688550070140122,16.066759640327632,20.755309710467756,0.7741035843095372,0.22589641569046276,24.34778211266544,31.49208008038274,2.648503905204171,0.0,82.7,-473.48310576988945,556.1831057698895
9,4.866641819673063,18.419164490167027,23.28580630984009,0.7910039379818888,0.20899606201811113,23.127763617660424,25.38152563655649,2.662365576414662,0.0,82.7,-473.9851564047295,556.6851564047295
10,5.041435049010743,21.004166654445395,26.04560170345614,0.8064381423623718,0.19356185763762818,22.995842730642437,30.915570950443943,2.6591549886115096,0.0,82.7,-473.09596131269296,555.795961312693
11,4.352141667671934,12.64195736892018,16.994099036592115,0.7439027712913291,0.25609722870867085,24.835144363786355,30.01140559942419,2.6656446260571056,0.0,82.7,-472.82425406868515,555.5242540686852
12,4.833171050443692,16.030911474125237,20.86408252456893,0.7683496964339414,0.23165030356605867,24.412049332347067,27.54672086372475,2.662541079530875,0.0,82.7,-473.35318831577126,556.0531883157713
13,4.724521486129652,17.34693729990365,22.071458786033304,0.785944303367963,0.214055696632037,23.593039324065437,30.15400251087928,2.6616149116355245,0.0,82.7,-473.52382990972166,556.2238299097216
14,4.587432354878577,15.854943169359537,20.442375524238113,0.7755920123158216,0.22440798768417844,24.35204415576925,30.826224853155253,2.6629620995690804,0.0,82.7,-472.21008198889325,554.9100819888932
15,4.660572445400874,13.42611814837486,18.086690593775735,0.7423203310060082,0.25767966899399164,26.512522932106382,29.688919624961493,2.641781366402488,0.0,82.7,-472.8904295996338,555.5904295996338
16,4.664451338872753,14.709397987734311,19.373849326607065,0.7592398257961658,0.2407601742038342,25.776300653200146,30.133602492348952,2.646050130886452,0.0,82.7,-473.173531454324,555.873531454324
17,4.718304149385492,17.184477194794937,21.90278134418043,0.784579680760994,0.21542031923900595,24.60220019624982,30.539334636528892,2.6649166046078,0.0,82.7,-473.37514224964946,556.0751422496495
18,4.220008482726234,11.639845391980487,15.85985387470672,0.7339188295135367,0.2660811704864633,24.631907282384685,30.150280747060588,2.679305710314065,0.0,82.7,-473.18718438385855,555.8871843838585
19,5.016185528666015,18.937329520436553,23.953515049102567,0.790586662609505,0.209413337390495,24.01725479711691,29.08420867559701,2.658498870615032,0.0,82.7,-472.93871847605925,555.6387184760592
20,4.369778776728144,13.227771671361921,17.597550448090065,0.7516825543635584,0.24831744563644165,25.720705947545145,29.36896135921634,2.659099684244116,0.0,82.7,-473.01112562343326,555.7111256234333
21,4.818014131500104,18.49154486254027,23.309558994040373,0.7933030765304508,0.20669692346954915,24.66660968573953,38.123190543704425,2.66232281321014,0.0,82.7,-473.1146481038142,555.8146481038142
22,4.345566910935766,12.359891253643282,16.70545816457905,0.7398714319521168,0.2601285680478831,24.93765851662062,34.400494675190764,2.655841202389883,0.0,82.7,-472.977181228482,555.677181228482
23,4.519116158726766,15.357422308318794,19.87653846704556,0.7726406855892305,0.22735931441076954,23.66713876218882,29.14910960772285,2.6737190755764155,0.0,82.7,-473.2016096765989,555.9016096765989
24,4.720808231797826,12.966519347287573,17.687327579085398,0.7330965794188149,0.2669034205811852,25.695873579339793,28.464296956727708,2.650122044159271,0.0,82.7,-474.0312560333493,556.7312560333493
25,4.412010243473277,12.579611790549013,16.99162203402229,0.7403420206358688,0.2596579793641312,25.063668738963088,26.16848266429109,2.658559219744986,0.0,82.7,-473.77142449709675,556.4714244970968
26,4.321661730146978,13.505231136834478,17.826892866981456,0.7575762774593515,0.24242372254064848,25.624063196709077,31.257638041814886,2.646106964997894,0.0,82.7,-473.0217680116152,555.7217680116153
27,4.792986632029138,18.279605642461362,23.0725922744905,0.7922649273645617,0.2077350726354384,24.5533992249852,28.888403407018842,2.6596319497621215,0.0,82.7,-472.82209887809836,555.5220988780984
28,4.667256539833569,15.494399100136638,20.161655639970206,0.7685082701947951,0.23149172980520494,24.33171953931096,32.38962163114778,2.643711624592659,0.0,82.7,-473.27255019653876,555.9725501965388
29,4.817051880592929,14.646119559029525,19.463171439622457,0.7525042670699318,0.24749573293006813,24.354954033607022,28.48733961282031,2.6700068909615613,0.0,82.7,-473.69214222972965,556.3921422297296
30,4.8426893914023434,18.137617166808937,22.980306558211282,0.7892678507514529,0.210732149248547,24.30662173578467,31.56626114021495,2.6647746974510635,0.0,82.7,-473.94744831291047,556.6474483129105
31,4.38745927937368,11.908082489035944,16.295541768409624,0.7307570781181904,0.26924292188180976,24.713322524532003,30.5996820962779,2.6571508250512443,0.0,82.7,-473.5130361451428,556.2130361451428
32,4.7294432794568575,16.478795008826705,21.20823828828356,0.7769997104347123,0.2230002895652878,24.636278460302613,26.61411329667414,2.6477811055634493,0.0,82.7,-472.67270114142315,555.3727011414231
33,4.1924789304917915,11.550120892639972,15.742599823131764,0.7336857331321176,0.26631426686788245,24.590520129508224,30.723435554919842,2.661087381355469,0.0,82.7,-473.69950561604117,556.3995056160412
34,4.8432909088181795,17.76847570876985,22.611766617588028,0.7858066116315325,0.21419338836846744,23.89381002891154,24.389271169694254,2.666350035999096,0.0,82.7,-473.1760582468511,555.8760582468511
35,4.437793446821494,13.090182834836227,17.527976281657722,0.7468165534052293,0.2531834465947706,25.00451530269957,30.194624377629037,2.661912512862576,0.0,82.7,-473.67660069659325,556.3766006965933
36,4.856390596696397,20.268800242175626,25.125190838872022,0.8067122901537165,0.19328770984628357,23.731372066808284,26.973302014160385,2.661382893918316,0.0,82.7,-472.6301273364265,555.3301273364265
37,4.491808457190889,16.022782022330283,20.51459047952117,0.7810432305887428,0.2189567694112572,24.897037856447376,38.28858298920188,2.6575166251668896,0.0,82.7,-472.5084122874241,555.2084122874242
38,4.460114787671208,13.523829817057853,17.98394460472906,0.7519946326737252,0.2480053673262748,25.071253515763686,32.91131290688441,2.6609825574504797,0.0,82.7,-474.4452475714285,557.1452475714285
39,4.411336544042001,13.227506095270245,17.638842639312244,0.7499078236453953,0.25009217635460484,25.130223397009303,32.34295154520037,2.6464766220388007,0.0,82.7,-473.0287400518746,555.7287400518746
40,4.621812057674028,18.344696997086576,22.966509054760603,0.7987586164421451,0.20124138355785495,23.929563455908976,28.331996317387528,2.6632872275785062,0.0,82.7,-473.6517643789602,556.3517643789602
41,4.576472384850136,14.186735590134331,18.763207974984468,0.7560932868754856,0.2439067131245143,24.69135722310729,29.84047114026076,2.652588362127139,0.0,82.7,-473.3523167118182,556.0523167118182
42,4.73658349100539,16.33521906046795,21.07180255147334,0.7752169763628405,0.2247830236371595,24.81456135199543,25.24096214279268,2.6476767009364757,0.0,82.7,-474.1127413934085,556.8127413934085
43,4.829084316296493,17.10483303832731,21.9339173546238,0.7798348449015884,0.22016515509841167,24.17558793749013,26.50706116835874,2.658893643729326,0.0,82.7,-472.77671793597233,555.4767179359724
44,4.617535536293817,17.053978050083636,21.67151358637745,0.7869306397133072,0.21306936028669288,23.757223103494212,27.33154906780368,2.65879285987082,0.0,82.7,-472.9614310209702,555.6614310209702
45,4.304426636559653,12.329890677271235,16.634317313830888,0.7412321434447651,0.258767856555235,25.822826693755783,31.198009710809533,2.641405153841372,0.0,82.7,-473.30779847196516,556.0077984719652
46,4.703072575550862,14.68323997417749,19.386312549728352,0.757402416602596,0.2425975833974039,24.88817031669398,29.004101034765014,2.660171147521092,0.0,82.7,-474.0028867643021,556.7028867643021
47,4.373036444582961,13.920087137617559,18.29312358220052,0.7609464329624936,0.23905356703750638,24.187575248932554,32.423879092167056,2.642650178038062,0.0,82.7,-472.9471420528876,555.6471420528876
48,4.843512515376165,19.686088049585937,24.529600564962102,0.8025441750447987,0.19745582495520136,23.81734695927776,28.246108997049106,2.6581124740584343,0.0,82.7,-473.16190148358135,555.8619014835814
49,4.685116742750501,16.746895380422394,21.432012123172896,0.781396318935224,0.218603681064776,25.170973997652748,30.624665498601065,2.658169513484176,0.0,82.7,-473.30110704589094,556.001107045891
50,3.957091541511102,9.010397504649564,12.967489046160665,0.6948451988334092,0.3051548011665908,26.265710427521928,31.98403160868418,2.6439419874601193,0.0,82.7,-472.98540235461206,555.685402354612
51,4.593728183568248,14.921140860566412,19.51486904413466,0.7646036889523004,0.23539631104769967,25.665900945904987,28.883138329296106,2.6619067469767987,0.0,82.7,-473.6355969304658,556.3355969304658
52,4.093411404306239,11.238988125753432,15.332399530059671,0.7330221276662552,0.26697787233374476,26.18985788632094,31.749336528294464,2.640343016409059,0.0,82.7,-473.4633058494504,556.1633058494505
53,4.545077639747323,15.418999547367859,19.96407718711518,0.7723372036108579,0.22766279638914225,24.16364744745376,32.972839030594045,2.6664344305438568,0.0,82.7,-473.462017594916,556.162017594916
54,4.476400731980116,14.014479787019257,18.490880518999372,0.7579130573376095,0.24208694266239056,24.685169195440515,32.74835473401498,2.6473366880364764,0.0,82.7,-473.86652367298933,556.5665236729893
55,4.407490974777245,13.303011970383306,17.71050294516055,0.7511368825366078,0.2488631174633923,25.096479007549178,30.455092518634316,2.657277312949003,0.0,82.7,-473.205587940525,555.905587940525
56,4.3190084835833815,13.110280593743425,17.429289077326807,0.7521982414531274,0.2478017585468726,24.907480929138917,33.750012590488616,2.6466793732460974,0.0,82.7,-473.544005832584,556.244005832584
57,4.4083912043584474,11.855866253577693,16.26425745793614,0.7289521998923244,0.27104780010767565,25.589292485923316,32.21019109971268,2.6469929805447454,0.0,82.7,-473.8489304611048,556.5489304611049
