,kAB,kBA,kex,pA,pB,R2A,R2B,R1,sigma,CS_A,CS_B,deltaomega
0,4.8346850690518295,11.93596044886496,16.77064551791679,0.7117174133883677,0.28828258661163225,26.694717124877744,32.652514501532195,2.7548,-1.5563614098252676,82.7,-474.20304199826836,556.9030419982683
1,4.850333583023165,13.41474938007715,18.265082963100316,0.7344477661107831,0.26555223388921684,26.435216251812687,30.647205879843554,2.7548,-1.563660641162306,82.7,-473.244278869181,555.9442788691811
2,4.678220368792095,11.645917286782286,16.324137655574383,0.713416998343274,0.2865830016567259,26.699619072699704,34.92035304226426,2.7548,-1.551488412273169,82.7,-474.0585559282825,556.7585559282825
3,4.861817148579127,12.433780295100165,17.29559744367929,0.7188985714768769,0.2811014285231232,26.02868213308408,32.595750047946915,2.7548,-1.5458458876400576,82.7,-473.3724194837151,556.0724194837151
4,4.425167935938589,10.738391127221892,15.16355906316048,0.7081708906526151,0.2918291093473849,26.267446683004376,32.303410842927,2.7548,-1.5653038764921647,82.7,-473.75397908368416,556.4539790836842
5,4.543836609459262,10.006232970030291,14.550069579489554,0.6877103174912329,0.31228968250876704,27.52579836252138,33.82002001811824,2.7548,-1.5496743295864213,82.7,-473.4143037670156,556.1143037670156
6,4.50419425554361,10.562035277479783,15.066229533023392,0.7010403800319815,0.2989596199680185,27.293631895765014,36.98677581914882,2.7548,-1.5486564394145705,82.7,-473.7894732482167,556.4894732482168
7,4.787065269035765,11.981459974680776,16.768525243716542,0.7145207941986692,0.2854792058013308,25.930775675343668,32.20615576411368,2.7548,-1.5502058715053773,82.7,-473.47581684482867,556.1758168448287
8,4.532759183057093,11.578001968911009,16.110761151968102,0.7186502152008275,0.2813497847991724,26.953559504360054,33.92286773978026,2.7548,-1.5519898689465983,82.7,-473.70822815717764,556.4082281571776
9,4.6236417671725984,10.876725161913004,15.500366929085603,0.7017075925798515,0.2982924074201485,26.99329287381601,32.48498006801712,2.7548,-1.545588001403393,82.7,-473.4972999277552,556.1972999277552
10,4.64283095068738,12.047995188625682,16.690826139313064,0.7218333645120298,0.2781666354879701,26.34494709612203,31.964945621767217,2.7548,-1.550781785645496,82.7,-473.38032930262074,556.0803293026207
11,4.701004117912188,10.79382883644627,15.494832954358458,0.6966082737542603,0.30339172624573973,26.548585922940084,34.09012664879777,2.7548,-1.550497638994654,82.7,-473.7797443785641,556.4797443785641
12,4.637650132211978,11.324741660708462,15.962391792920439,0.7094639580097987,0.29053604199020133,26.932174842316357,33.462368285759815,2.7548,-1.555159042178889,82.7,-473.2907439884035,555.9907439884036
13,4.88385572287005,12.506007138935553,17.389862861805604,0.71915501797333,0.2808449820266699,26.482654126472124,30.65375914521898,2.7548,-1.5592503477902027,82.7,-473.9022611027865,556.6022611027865
14,4.746008062983701,11.615298111493852,16.36130617447755,0.7099248670997229,0.29007513290027714,26.715695219159468,33.39177970923169,2.7548,-1.5558832286928688,82.7,-473.8222637990733,556.5222637990734
15,4.892180473813723,13.086369124386275,17.978549598199997,0.7278879229332534,0.27211207706674656,26.840238461739453,34.819968187648435,2.7548,-1.5493429713600562,82.7,-473.6005769107842,556.3005769107842
16,4.69217469570904,12.02396463529657,16.71613933100561,0.7193027287702819,0.2806972712297181,26.873028956452067,37.05322161699432,2.7548,-1.5445770049775989,82.7,-473.996689423603,556.6966894236031
17,4.92818740436998,14.925691882011416,19.853879286381396,0.7517771044497873,0.24822289555021265,25.456380698920427,33.0868460794993,2.7548,-1.5559550741286725,82.7,-473.77839674239084,556.4783967423908
18,4.56613587165329,8.459068871381456,13.025204743034745,0.6494384570733877,0.3505615429266124,27.92943842518371,35.36904731244345,2.7548,-1.5503906053825485,82.7,-472.95564327188106,555.6556432718811
19,4.539616410263134,9.63584497581872,14.175461386081855,0.6797552977908468,0.32024470220915324,28.19659100966461,35.55527484904568,2.7548,-1.5586238914207138,82.7,-473.1029580431695,555.8029580431695
20,4.5880136707110815,10.210411180231548,14.798424850942629,0.6899660797061902,0.31003392029380983,27.70034298724573,34.9915234309025,2.7548,-1.5475194892657078,82.7,-472.8379451402635,555.5379451402636
21,4.55851407773911,9.958404777378986,14.516918855118096,0.685986115701683,0.314013884298317,27.340795081691628,34.13050531080895,2.7548,-1.5477404305069464,82.7,-473.2072254407365,555.9072254407365
22,4.523539810953082,9.788722815625047,14.312262626578129,0.6839395748263599,0.3160604251736401,27.153975421296575,35.7106974805723,2.7548,-1.5493959611103683,82.7,-473.8491275494294,556.5491275494294
23,4.610123754054021,10.868070022029078,15.4781937760831,0.7021536349300922,0.29784636506990775,27.285466043913928,32.306378184956394,2.7548,-1.5491328153758395,82.7,-474.190371987468,556.890371987468
24,4.7798084857305225,11.979718116201518,16.75952660193204,0.7148005072422806,0.2851994927577194,27.216468435905075,33.18354096731732,2.7548,-1.5457515868422969,82.7,-474.014733809635,556.714733809635
25,4.626193809226921,10.530964615180375,15.157158424407296,0.6947848877941761,0.3052151122058238,27.587355858026886,33.62952346183505,2.7548,-1.5468588869030626,82.7,-473.39057617174717,556.0905761717472
26,4.257754736511047,7.669812129079086,11.927566865590133,0.6430324152032839,0.3569675847967161,27.7931849099277,36.41364644823796,2.7548,-1.5538856149378442,82.7,-473.88185525882346,556.5818552588235
27,4.834654968849458,13.251734749413565,18.08638971826302,0.732690987855493,0.2673090121445071,26.855231335557992,31.372121654162054,2.7548,-1.5517137803131726,82.7,-474.09830878731645,556.7983087873165
28,4.662149797673969,11.069073782437187,15.731223580111156,0.7036371790196738,0.29636282098032624,27.70419912053916,31.70763959644463,2.7548,-1.5547797400797676,82.7,-473.72071438902157,556.4207143890216
29,5.0255634944567396,11.753371134886155,16.778934629342896,0.7004837550491396,0.2995162449508603,27.213856312500436,27.79547403979611,2.7548,-1.5457420664765806,82.7,-473.11017213069107,555.8101721306911
30,4.983200954806934,14.40545693739826,19.388657892205195,0.7429837081807334,0.25701629181926644,26.38221518317868,34.982028735098474,2.7548,-1.5474122392415743,82.7,-474.62788990582595,557.3278899058259
