,kAB,kBA,kex,pA,pB,RA,RB,M0
0,4.2041595810903285,12.366701866403053,16.57086144749338,0.7462920322874176,0.25370796771258247,2.625280618081293,2.625280578961563,293841941.12313807
1,4.36630706364467,13.17822310316207,17.54453016680674,0.7511300090608595,0.24886999093914045,2.557017923163817,2.557017885061281,291472237.41637194
2,4.118610555203315,12.398913058581462,16.517523613784775,0.7506520558707658,0.24934794412923433,2.5901360327584726,2.590135994162438,290610350.8011541
3,4.131781621824338,12.37900948169345,16.51079110351779,0.7497526559497187,0.2502473440502812,2.5687068125639856,2.5687067742872713,293420830.0058314
4,4.010224968782254,12.263180726562455,16.27340569534471,0.7535718678770819,0.24642813212291811,2.637482399692361,2.6374823603908104,293025010.9660677
5,3.9710136359084873,12.1088096178751,16.079823253783587,0.7530437012126917,0.2469562987873083,2.5866113125468755,2.586611274003363,291311468.3642812
6,3.9982938373551278,12.222233988621507,16.220527825976635,0.7535040856714913,0.24649591432850868,2.5652741105811394,2.5652740723555767,289172058.14219946
7,4.167936212186174,12.551022515852802,16.718958728038977,0.7507059931192828,0.24929400688071707,2.6045944424843506,2.604594403672869,291603052.82864934
8,4.154067733192682,12.891226507337363,17.045294240530044,0.7562924010243718,0.24370759897562827,2.610501555415804,2.6105015165162997,290867502.79817766
9,4.181772282308118,12.592831457320534,16.774603739628652,0.7507081331269234,0.24929186687307653,2.632766687862789,2.632766648631508,295712640.6126276
10,4.238886738841748,12.821266132567224,17.060152871408974,0.7515328982810184,0.24846710171898148,2.6379475443407894,2.6379475050323076,293516182.36504775
11,4.483804567123922,13.804754940195588,18.288559507319512,0.7548300856975969,0.24516991430240298,2.653488562374425,2.6534885228343645,295129659.3370798
12,3.9445749481657386,11.8259362703792,15.77051121854494,0.7498765326309007,0.25012346736909924,2.5289812996662198,2.528981261981462,290421340.0591931
13,4.252021751170196,13.126847436825594,17.37886918799579,0.7553338076733312,0.2446661923266688,2.578824960250466,2.5788249218229793,291134921.4062846
14,4.192586275053602,12.676683087054329,16.86926936210793,0.7514660424789311,0.24853395752106894,2.661286147496328,2.6612861078400742,292308740.9366722
15,4.329194407429416,12.805212713563652,17.134407120993068,0.7473391184848591,0.2526608815151409,2.577232591230852,2.577232552827094,294745804.2340141
16,4.29037524968525,13.031264892914583,17.321640142599833,0.7523112583817193,0.24768874161828078,2.626202179988807,2.626202140855345,290317121.9053345
17,4.162227913786872,12.889392583023612,17.051620496810486,0.7559042605618967,0.24409573943810317,2.6753808787728826,2.6753808389066007,291245734.29468215
18,4.112145529320158,12.488583707616469,16.600729236936626,0.75229127162856,0.24770872837144006,2.5249022986335605,2.524902261009584,290190714.7365252
19,4.3192761520464185,13.138206340315492,17.457482492361912,0.7525831027505706,0.24741689724942934,2.70647840305846,2.7064783627287894,295431484.95848674
20,4.31342315364659,13.105695004672555,17.419118158319144,0.7523741951548475,0.2476258048451526,2.57464094842091,2.5746409100557703,292911989.1363698
21,4.110168748711819,12.448377686861551,16.55854643557337,0.7517796163628359,0.24822038363716414,2.5265161071148086,2.5265160694667848,290653840.52165514
22,4.280880827516544,13.183094647591217,17.46397547510776,0.7548736349510862,0.24512636504891389,2.660178416520334,2.6601783768805864,289534215.07796293
23,4.350473822247372,13.324863175840699,17.67533699808807,0.7538675600517286,0.2461324399482714,2.6346146640795047,2.634614624820687,292546634.79666466
24,3.8008425436121964,11.501219981758174,15.30206252537037,0.75161240275221,0.24838759724779003,2.667783402355302,2.6677833626022314,294174955.2728503
25,4.048725812757376,12.240443067201786,16.289168879959163,0.7514467532018413,0.24855324679815868,2.500842050118403,2.500842012852953,290607417.16827136
26,4.155301056585595,12.31838166710637,16.473682723691965,0.7477612549494131,0.25223874505058685,2.6637967484102916,2.6637967087166268,296354160.1490741
27,3.96424363012852,11.848373729275833,15.812617359404353,0.7492987062150823,0.2507012937849177,2.560313100728764,2.5603130625771255,291369298.36316013
28,4.23935964438459,13.053973076313754,17.293332720698345,0.7548558330049064,0.2451441669950935,2.610215503631331,2.6102154647360893,293221897.67034274
29,3.927943308003652,11.864243059830377,15.792186367834029,0.7512729892800533,0.24872701071994677,2.697509012210022,2.6975089720140057,290554508.3114934
30,4.341970276332499,13.087336373632798,17.429306649965298,0.7508810669562036,0.24911893304379631,2.5649213237625292,2.564921285542223,291082929.8919343
31,4.114384049385358,12.244489429293807,16.358873478679165,0.748492214042262,0.25150778595773815,2.4856699545281034,2.4856699174887344,291407037.16034573
32,4.2157031675315535,12.760358716235979,16.97606188376753,0.751667778051481,0.2483322219485191,2.681573512839231,2.6815734728806717,293472185.18410534
33,4.454934718122594,13.301429091506707,17.7563638096293,0.7491077133874293,0.25089228661257085,2.611605664722851,2.6116056258068943,293643492.9992882
34,4.134567774330198,12.527724845542036,16.662292619872233,0.7518608111947862,0.24813918880521388,2.718107877381993,2.7181078368790295,293512871.25799805
35,4.095650318230385,12.560942963526289,16.656593281756674,0.7541123656590575,0.24588763434094255,2.7211616413851814,2.7211616008367128,293467563.5982237
36,4.0636471387649715,12.148244957944431,16.211892096709402,0.7493415873653769,0.2506584126346232,2.567747566781422,2.5677475285190017,291653762.0454202
37,4.192862918131245,12.714035324865,16.906898242996245,0.7520028299769204,0.24799717002307956,2.520472172042507,2.520472134484545,293435783.1641142
38,4.3098630077141165,12.991856540143383,17.3017195478575,0.7508997301804136,0.24910026981958647,2.5739383101056097,2.57393827175094,293559185.35334456
39,4.296131661296708,12.93577420302234,17.23190586431905,0.7506873763631439,0.24931262363685605,2.533727242846539,2.533727205091061,290458907.11459184
